% Model,MDOF_EigenFrequency_todo.mph
% Version,COMSOL 5.6.0.401
% Date,"Jan 7 2022, 16:25"
% Table,Effective Participation Mass (Eigenfrequencies) - 
% Eigenfrequency (Hz),"Effective modal mass, X-translation (kg)",real(mpf1.mEffLY) (kg),"Effective modal mass, Z-translation (kg)",real(mpf1.mEffRX) (kg*m^2),real(mpf1.mEffRZ) (kg*m^2),real(mpf1.mEffRX) (kg*m^2)
3.041638509207034,49020.413546408985,1.5963921001989648E-15,6.65428396171959E-12,8.762832419616525E-14,6.744689365904449E-7,8.762832419616525E-14
8.563068508486284,4295.402449735061,8.417853273257866E-15,2.851558463496072E-9,3.494399194276077E-11,3.988602861081737E-6,3.494399194276077E-11
12.514199289522141,609.1807433773776,5.886305027506294E-15,1.2232966850777377E-9,7.522934628524323E-12,2.2810092042253707E-6,7.522934628524323E-12
29.003537041133654,1.3151187185963723E-8,8.645489454632133E-12,48624.53283971091,4.151633645850894E-5,7.037172870033786E-16,4.151633645850894E-5
51.445250497205606,0.0010162249801012558,0.2330168058108014,5.071808832447035E-5,109023.3946835045,1.1642047224591654E-10,109023.3946835045
51.46245168439643,0.6328576469032265,3.7483336214911244E-4,0.002025148200194556,175.13609493497302,7.243582344377998E-8,175.13609493497302
54.848250593762415,2.4555015075159783E-8,1.3552839049986287E-11,2940.8300329899466,4.992212228465419E-5,5.44351081436809E-14,4.992212228465419E-5
59.18111945723882,4.3464392850272185E-9,1.897120145929537E-12,363.1948124733029,7.681830297992271E-6,6.528927197086415E-15,7.681830297992271E-6
90.99134311866565,7.145027800140078E-8,2.999907587599802E-9,655.0641216847389,1.2604622710032224E-4,3.98008977315955E-13,1.2604622710032224E-4
106.52986608310214,0.028972997695197508,0.028962154877295608,3.49355209914119E-4,4189.758743968331,2.124412689057931E-6,4189.758743968331
